seed,country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
273,Nigeria,compact_tabular,49,16,0.34048065089909557,1.0,0.5625,0.72,0.9049479166666666,0.9166666666666667,33,0,7,9
273,Nigeria,all77_tabular,49,16,0.46877345039816476,1.0,0.5625,0.72,0.918298586494151,0.9393939393939393,33,0,7,9
273,Nigeria,handcrafted_image,49,16,0.11557698225930499,0.7857142857142857,0.6875,0.7333333333333333,0.9141726586966524,0.9564393939393939,30,3,5,11
273,Nigeria,cnn_only,49,16,0.7120858058518935,1.0,0.25,0.4,0.8697588915105362,0.9166666666666666,33,0,12,4
273,Nigeria,cv_multispectral,49,16,0.2419175745350964,0.8571428571428571,0.75,0.8,0.8649710395598553,0.9431818181818181,31,2,4,12
273,Nigeria,guarded_cv_tabular,49,16,0.5510325572682593,0.9090909090909091,0.625,0.7407407407407407,0.9513325083377833,0.9734848484848485,32,1,6,10
273,Nigeria,nested_champion,49,16,0.5510325572682593,0.9090909090909091,0.625,0.7407407407407407,0.9513325083377833,0.9734848484848485,32,1,6,10
274,Algeria,compact_tabular,48,15,0.3566232389582049,0.625,0.6666666666666666,0.6451612903225806,0.8234767478474572,0.890909090909091,27,6,5,10
274,Algeria,all77_tabular,48,15,0.4096712213177941,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.8388839059491233,0.9030303030303031,29,4,5,10
274,Algeria,handcrafted_image,48,15,0.32852623558470284,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.8982621381886088,0.9191919191919192,27,6,2,13
274,Algeria,cnn_only,48,15,0.5993213657585239,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.6712112098427888,0.8464646464646464,21,12,1,14
274,Algeria,cv_multispectral,48,15,0.2741184771103253,0.48148148148148145,0.8666666666666667,0.6190476190476191,0.7723955673955674,0.8646464646464647,19,14,2,13
274,Algeria,guarded_cv_tabular,48,15,0.5814548905917047,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8405131515657831,0.9010101010101009,30,3,5,10
274,Algeria,nested_champion,48,15,0.3566232389582049,0.625,0.6666666666666666,0.6451612903225806,0.8234767478474572,0.890909090909091,27,6,5,10
274,Angola,compact_tabular,50,6,0.39403900843948847,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.976190476190476,0.9962121212121212,43,1,1,5
274,Angola,all77_tabular,50,6,0.3889688162360597,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8972222222222221,0.9848484848484849,42,2,1,5
274,Angola,handcrafted_image,50,6,0.38367708576116216,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.876984126984127,0.9659090909090908,42,2,1,5
274,Angola,cnn_only,50,6,0.1751664398324717,0.35294117647058826,1.0,0.5217391304347826,0.8259259259259258,0.9659090909090908,33,11,0,6
274,Angola,cv_multispectral,50,6,0.1666156400373945,0.3,1.0,0.46153846153846156,0.8634920634920634,0.9772727272727273,30,14,0,6
274,Angola,guarded_cv_tabular,50,6,0.5802710341634928,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,43,1,0,6
