seed,held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,fusion_alpha,inner_selected_branch,branch_selection_diagnostics,alpha_diagnostics
272,Nigeria,nested_champion,0.9331656566635392,0.7866343454278173,0.5090754443883792,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8654926460621206, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7303228563551143, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8602956276501639, ""macro_ap_gain"": -0.005197018411956744, ""macro_f1"": 0.7266904761904762, ""macro_f1_delta"": -0.0036323801646380716, ""improved_countries"": 2, ""worst_country_delta"": -0.032495868222511715, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9331656566635393, ""macro_ap_gain"": 0.06767301060141873, ""macro_f1"": 0.7866343454278173, ""macro_f1_delta"": 0.056311489072703, ""improved_countries"": 5, ""worst_country_delta"": 0.005061667727054853, ""eligible"": true}]",
273,Algeria,compact_tabular,0.905620722798519,0.8063302477563938,0.4207180908374289,,,,
273,Algeria,all77_tabular,0.8919730550611693,0.8068641718641719,0.3891526749161256,,,,
273,Algeria,handcrafted_image,0.7616286567287688,0.6421452761075404,0.2913123934809503,,,,
273,Algeria,cnn_only,0.7265735841616876,0.618660640434834,0.3675508039770767,,,,
273,Algeria,cv_multispectral,0.7704391663721774,0.6516604374889119,0.2917504754091016,,,,
273,Algeria,guarded_cv_tabular,0.9235741340363725,0.8044017094017094,0.6291157948755031,0.3,,,"[{""alpha"": 0.0, ""macro_ap"": 0.905620722798519, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.915873776984071, ""gain"": 0.010253054185552002, ""improved_countries"": 5, ""worst_delta"": 0.006675157537226584, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9235741340363723, ""gain"": 0.017953411237853323, ""improved_countries"": 4, ""worst_delta"": -0.0005183590944769501, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9152621458232801, ""gain"": 0.00964142302476112, ""improved_countries"": 3, ""worst_delta"": -0.017485390457793182, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9158869107472581, ""gain"": 0.010266187948739125, ""improved_countries"": 4, ""worst_delta"": -0.029604021694071503, ""eligible"": true}]"
273,Algeria,nested_champion,0.9235741340363725,0.8044017094017094,0.6291157948755031,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.905620722798519, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.8063302477563938, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8919730550611693, ""macro_ap_gain"": -0.013647667737349711, ""macro_f1"": 0.8068641718641719, ""macro_f1_delta"": 0.0005339241077780832, ""improved_countries"": 1, ""worst_country_delta"": -0.0444444444444444, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9235741340363723, ""macro_ap_gain"": 0.017953411237853323, ""macro_f1"": 0.8044017094017094, ""macro_f1_delta"": -0.0019285383546844281, ""improved_countries"": 4, ""worst_country_delta"": -0.0005183590944769501, ""eligible"": true}]",
273,Angola,compact_tabular,0.8610976719521876,0.7675925925925926,0.421660626791302,,,,
273,Angola,all77_tabular,0.8793150918380299,0.8123958615704345,0.3969567920395656,,,,
273,Angola,handcrafted_image,0.769416189218267,0.6261880341880341,0.4268504617204641,,,,
273,Angola,cnn_only,0.7450667883787221,0.6247167424889577,0.1746587436830003,,,,
273,Angola,cv_multispectral,0.7689300832149273,0.6555355894978536,0.167198202867767,,,,
273,Angola,guarded_cv_tabular,0.8972848006103028,0.7206068477389211,0.5893001115620857,0.7,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8610976719521876, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8687668180824881, ""gain"": 0.007669146130300564, ""improved_countries"": 5, ""worst_delta"": 0.0013475861056506666, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.880129461790298, ""gain"": 0.01903178983811049, ""improved_countries"": 5, ""worst_delta"": 0.005452316433181448, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.8886015025227347, ""gain"": 0.027503830570547172, ""improved_countries"": 5, ""worst_delta"": 0.001543344447345496, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.8972848006103028, ""gain"": 0.03618712865811524, ""improved_countries"": 4, ""worst_delta"": -0.01263287517840428, ""eligible"": true}]"
273,Angola,nested_champion,0.8793150918380299,0.8123958615704345,0.3969567920395656,,all77_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8610976719521876, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7675925925925926, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8793150918380299, ""macro_ap_gain"": 0.018217419885842356, ""macro_f1"": 0.8123958615704345, ""macro_f1_delta"": 0.044803268977841926, ""improved_countries"": 4, ""worst_country_delta"": -0.0027465392775469777, ""eligible"": true}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.8972848006103028, ""macro_ap_gain"": 0.03618712865811524, ""macro_f1"": 0.7206068477389211, ""macro_f1_delta"": -0.04698574485367146, ""improved_countries"": 4, ""worst_country_delta"": -0.01263287517840428, ""eligible"": false}]",
273,Indonesia,compact_tabular,0.8510189965882493,0.7108333333333333,0.5031181153541876,,,,
273,Indonesia,all77_tabular,0.8552482723611856,0.7138800518439967,0.2780146980570179,,,,
273,Indonesia,handcrafted_image,0.691972695072893,0.5547094080078605,0.1352294924387011,,,,
273,Indonesia,cnn_only,0.6861207968295389,0.6260287161877829,0.6245393148873124,,,,
273,Indonesia,cv_multispectral,0.7485611621040389,0.6524369024033079,0.5724521802741998,,,,
273,Indonesia,guarded_cv_tabular,0.9101677163694578,0.740031265031265,0.6200002708925119,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8510189965882493, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8673441247398561, ""gain"": 0.016325128151606805, ""improved_countries"": 5, ""worst_delta"": 0.0017736697561259174, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.891996731887254, ""gain"": 0.040977735299004725, ""improved_countries"": 4, ""worst_delta"": -0.004732905982905988, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9101677163694578, ""gain"": 0.0591487197812085, ""improved_countries"": 5, ""worst_delta"": 0.005564689058336958, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.8965317288279172, ""gain"": 0.0455127322396679, ""improved_countries"": 4, ""worst_delta"": -0.0037962962962962976, ""eligible"": true}]"
273,Indonesia,nested_champion,0.9101677163694578,0.740031265031265,0.6200002708925119,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8510189965882493, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7108333333333333, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8552482723611856, ""macro_ap_gain"": 0.004229275772936303, ""macro_f1"": 0.7138800518439967, ""macro_f1_delta"": 0.0030467185106634043, ""improved_countries"": 3, ""worst_country_delta"": -0.008096042029865469, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9101677163694578, ""macro_ap_gain"": 0.0591487197812085, ""macro_f1"": 0.740031265031265, ""macro_f1_delta"": 0.029197931697931723, ""improved_countries"": 5, ""worst_country_delta"": 0.005564689058336958, ""eligible"": true}]",
