source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Iraq_3582,Iraq,pending,,,,,,,,,,,,,,,
Libya_2413,Libya,pending,,,,,,,,,,,,,,,
Nigeria_431389,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_8916,Algeria,pending,,,,,,,,,,,,,,,
Angola_347763,Angola,pending,,,,,,,,,,,,,,,
Indonesia_28997,Indonesia,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_1748,Iraq,pending,,,,,,,,,,,,,,,
Libya_1825,Libya,pending,,,,,,,,,,,,,,,
Nigeria_419624,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_12645,Algeria,pending,,,,,,,,,,,,,,,
Angola_40412,Angola,pending,,,,,,,,,,,,,,,
Indonesia_119008,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_27509,Iraq,pending,,,,,,,,,,,,,,,
Libya_3299,Libya,ok,0.9984,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_171296,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_5963,Algeria,pending,,,,,,,,,,,,,,,
Angola_427650,Angola,pending,,,,,,,,,,,,,,,
Indonesia_5037,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_33590,Iraq,pending,,,,,,,,,,,,,,,
Libya_2022,Libya,pending,,,,,,,,,,,,,,,
Nigeria_317323,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_5422,Algeria,pending,,,,,,,,,,,,,,,
Angola_476963,Angola,pending,,,,,,,,,,,,,,,
Indonesia_159160,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_29886,Iraq,pending,,,,,,,,,,,,,,,
Libya_1809,Libya,pending,,,,,,,,,,,,,,,
Nigeria_9020,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_4110,Algeria,pending,,,,,,,,,,,,,,,
Angola_646089,Angola,pending,,,,,,,,,,,,,,,
Indonesia_12431,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_7338,Iraq,pending,,,,,,,,,,,,,,,
Libya_290,Libya,pending,,,,,,,,,,,,,,,
Nigeria_270686,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_6477,Algeria,pending,,,,,,,,,,,,,,,
Angola_515766,Angola,ok,0.9998,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_158694,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_22367,Iraq,pending,,,,,,,,,,,,,,,
Libya_2918,Libya,pending,,,,,,,,,,,,,,,
Nigeria_250240,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_8558,Algeria,pending,,,,,,,,,,,,,,,
Angola_938524,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_65259,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_11494,Iraq,pending,,,,,,,,,,,,,,,
Libya_532,Libya,pending,,,,,,,,,,,,,,,
Nigeria_170372,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_12448,Algeria,pending,,,,,,,,,,,,,,,
Angola_461813,Angola,pending,,,,,,,,,,,,,,,
Indonesia_119870,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_20599,Iraq,pending,,,,,,,,,,,,,,,
Libya_2066,Libya,pending,,,,,,,,,,,,,,,
Nigeria_336140,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_13774,Algeria,pending,,,,,,,,,,,,,,,
Angola_72040,Angola,pending,,,,,,,,,,,,,,,
Indonesia_87147,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_19277,Iraq,pending,,,,,,,,,,,,,,,
Libya_1244,Libya,pending,,,,,,,,,,,,,,,
