source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,reflectance_p01,reflectance_p99,error
Indonesia_127020,Indonesia,810fa560a357d8c35fc7,pending,,,,,,,,,,,,,
Iraq_13569,Iraq,bb898a70ae891278b65f,pending,,,,,,,,,,,,,
Libya_161,Libya,eac1ca6c5c22206fe04c,ok,eac1ca6c5c22206fe04c.npz,EPSG:32634,1.0,1.0,1.0,S2A_T34RCR_20231015T092337_L2A,2023-10-15T09:32:53.413000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.016398588195443153,0.7311961054801941,
Nigeria_287921,Nigeria,cb1f265132e30406e156,pending,,,,,,,,,,,,,
Algeria_3176,Algeria,a5d8b3c2634e8141a503,pending,,,,,,,,,,,,,
Angola_408886,Angola,1b85103394a3b481e5d8,pending,,,,,,,,,,,,,
Indonesia_34452,Indonesia,f46d8361fa7cc66eb333,pending,,,,,,,,,,,,,
Iraq_5515,Iraq,514ed645883a58be14ef,pending,,,,,,,,,,,,,
Libya_1487,Libya,587a07bd7514b6e5179e,pending,,,,,,,,,,,,,
Nigeria_457601,Nigeria,8cce091ad4fc253a5159,pending,,,,,,,,,,,,,
Algeria_9285,Algeria,232f16f19580eab836fe,pending,,,,,,,,,,,,,
Angola_582026,Angola,70e19e8136ea50f8f4d8,pending,,,,,,,,,,,,,
Indonesia_132026,Indonesia,392e976fde67bad88e93,ok,392e976fde67bad88e93.npz,EPSG:32749,0.9992,1.0,1.0,S2B_T49MES_20240626T025424_L2A,2024-06-26T02:58:54.707000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.012358187697827816,0.29705724120140076,
Iraq_32265,Iraq,16f18c707c2f65fd238c,pending,,,,,,,,,,,,,
Libya_2443,Libya,4d8f2f2d4a1e21927e66,pending,,,,,,,,,,,,,
Nigeria_48802,Nigeria,629347aeec784124500d,pending,,,,,,,,,,,,,
Algeria_5745,Algeria,1fa0ea0e735daec9da25,pending,,,,,,,,,,,,,
Angola_102694,Angola,871d6c3aef790f5ae74a,pending,,,,,,,,,,,,,
Indonesia_58467,Indonesia,71680abb1b550afc408c,ok,71680abb1b550afc408c.npz,EPSG:32748,0.82585,0.944,1.0,S2B_T48MUD_20240509T033006_L2A,2024-05-09T03:38:31.218000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.01982898637652397,0.36391711235046387,
Iraq_28849,Iraq,80eba5b518a95fa0d1e3,pending,,,,,,,,,,,,,
